song,style,scope,metric,value
ALL,hip-hop,morning|out there,key_cof_distance,5
ALL,hip-hop,morning|sicko mode,key_cof_distance,5
ALL,hip-hop,out there|sicko mode,key_cof_distance,0
ALL,hip-hop,bass,n_universal_positions,3
ALL,hip-hop,chords,n_universal_positions,9
ALL,hip-hop,clap,n_universal_positions,2
ALL,hip-hop,hat,n_universal_positions,15
ALL,hip-hop,kick,n_universal_positions,4
ALL,hip-hop,melody,n_universal_positions,8
ALL,hip-hop,snare,n_universal_positions,0
ALL,hip-hop,bass,zone_longest_gap_beats,0.75..8.0
ALL,hip-hop,bass,zone_mean_abs_deviation_ms,0.0..2.91
ALL,hip-hop,bass,zone_onset_density_per_bar,0.5..6.0
ALL,hip-hop,bass,zone_space_ratio,0.0..0.0
ALL,hip-hop,bass,zone_syncopation_lhl,0.0..1.5
ALL,hip-hop,bass,zone_timing_played,0.0..1.0
ALL,hip-hop,bass,zone_velocity_reliable,0.0..0.0
ALL,hip-hop,bass|bass,zone_section_stability,0.09..0.09
ALL,hip-hop,bass|bass,zone_steps_only_in_A,20.0..20.0
ALL,hip-hop,bass|bass,zone_steps_only_in_B,0.0..0.0
ALL,hip-hop,bass|chords,zone_bass_chord_tone_rate,0.53..1.0
ALL,hip-hop,bass|chords,zone_bass_on_root_rate,0.0..0.86
ALL,hip-hop,chords,zone_longest_gap_beats,1.5..3.85
ALL,hip-hop,chords,zone_mean_abs_deviation_ms,0.0..27.26
ALL,hip-hop,chords,zone_onset_density_per_bar,10.0..30.0
ALL,hip-hop,chords,zone_space_ratio,0.0163..0.4089
ALL,hip-hop,chords,zone_syncopation_lhl,0.1..0.387
ALL,hip-hop,chords,zone_timing_played,0.0..1.0
ALL,hip-hop,chords,zone_velocity_reliable,0.0..1.0
ALL,hip-hop,clap,zone_longest_gap_beats,2.0..2.0
ALL,hip-hop,clap,zone_mean_abs_deviation_ms,0.0..0.0
ALL,hip-hop,clap,zone_onset_density_per_bar,2.0..2.0
ALL,hip-hop,clap,zone_space_ratio,0.875..0.9505
ALL,hip-hop,clap,zone_syncopation_lhl,1.5..1.5
ALL,hip-hop,clap,zone_timing_played,0.0..0.0
ALL,hip-hop,clap,zone_velocity_reliable,0.0..0.0
ALL,hip-hop,hat,zone_hat_business,0.349..0.773
ALL,hip-hop,hat,zone_longest_gap_beats,0.25..0.71
ALL,hip-hop,hat,zone_mean_abs_deviation_ms,10.42..16.35
ALL,hip-hop,hat,zone_onset_density_per_bar,16.5..20.0
ALL,hip-hop,hat,zone_roll_count,2.0..7.0
ALL,hip-hop,hat,zone_roll_resolves_into_hit_rate,0.0..1.0
ALL,hip-hop,hat,zone_rolls_per_4_bars,2.0..7.0
ALL,hip-hop,hat,zone_space_ratio,0.0..0.6966
ALL,hip-hop,hat,zone_syncopation_lhl,0.0..0.414
ALL,hip-hop,hat,zone_timing_played,1.0..1.0
ALL,hip-hop,hat,zone_velocity_reliable,0.0..1.0
ALL,hip-hop,kick,zone_longest_gap_beats,0.75..1.5
ALL,hip-hop,kick,zone_mean_abs_deviation_ms,0.0..0.0
ALL,hip-hop,kick,zone_onset_density_per_bar,4.5..6.12
ALL,hip-hop,kick,zone_section_stability,1.0..1.0
ALL,hip-hop,kick,zone_space_ratio,0.6562..0.8887
ALL,hip-hop,kick,zone_steps_only_in_A,0.0..0.0
ALL,hip-hop,kick,zone_steps_only_in_B,0.0..0.0
ALL,hip-hop,kick,zone_syncopation_lhl,0.889..1.5
ALL,hip-hop,kick,zone_timing_played,0.0..0.0
ALL,hip-hop,kick,zone_velocity_reliable,0.0..0.0
ALL,hip-hop,kick|bass,zone_ktb_co_hit_rate,0.64..1.0
ALL,hip-hop,kick|bass,zone_ktb_hit_ratio,0.82..9.0
ALL,hip-hop,kick|bass,zone_ktb_lag_std_ticks,0.0..0.83
ALL,hip-hop,kick|bass,zone_ktb_lead_in_rate,0.17..0.5
ALL,hip-hop,kick|bass,zone_ktb_mean_lag_ms,-0.44..0.0
ALL,hip-hop,kick|bass,zone_ktb_mean_lag_ticks,-0.05..0.0
ALL,hip-hop,melody,zone_longest_gap_beats,0.56..1.0
ALL,hip-hop,melody,zone_mean_abs_deviation_ms,8.05..16.09
ALL,hip-hop,melody,zone_onset_density_per_bar,6.0..8.0
ALL,hip-hop,melody,zone_space_ratio,0.0859..0.2526
ALL,hip-hop,melody,zone_syncopation_lhl,0.0..0.0
ALL,hip-hop,melody,zone_timing_played,1.0..1.0
ALL,hip-hop,melody,zone_velocity_reliable,0.0..0.0
ALL,hip-hop,snare,zone_longest_gap_beats,2.0..8.0
ALL,hip-hop,snare,zone_mean_abs_deviation_ms,0.0..0.0
ALL,hip-hop,snare,zone_onset_density_per_bar,0.5..3.0
ALL,hip-hop,snare,zone_space_ratio,0.9297..0.9701
ALL,hip-hop,snare,zone_syncopation_lhl,1.333..2.0
ALL,hip-hop,snare,zone_timing_played,0.0..0.0
ALL,hip-hop,snare,zone_velocity_reliable,0.0..0.0
