song,style,scope,metric,value
morning,hip-hop,bassline,space_ratio,0.0
morning,hip-hop,bassline,onset_density_per_bar,5.25
morning,hip-hop,bassline,velocity_reliable,0
morning,hip-hop,bassline,timing_played,1
morning,hip-hop,bassline,mean_abs_deviation_ms,2.91
morning,hip-hop,bassline,longest_gap_beats,1.5
morning,hip-hop,bassline,syncopation_lhl,0.905
morning,hip-hop,chord progression,space_ratio,0.0163
morning,hip-hop,chord progression,onset_density_per_bar,30.0
morning,hip-hop,chord progression,velocity_reliable,1
morning,hip-hop,chord progression,timing_played,1
morning,hip-hop,chord progression,mean_abs_deviation_ms,27.26
morning,hip-hop,chord progression,longest_gap_beats,3.85
morning,hip-hop,chord progression,syncopation_lhl,0.387
morning,hip-hop,clap,space_ratio,0.9505
morning,hip-hop,clap,onset_density_per_bar,2.0
morning,hip-hop,clap,velocity_reliable,0
morning,hip-hop,clap,timing_played,0
morning,hip-hop,clap,mean_abs_deviation_ms,0.0
morning,hip-hop,clap,longest_gap_beats,2.0
morning,hip-hop,clap,syncopation_lhl,1.5
morning,hip-hop,hihat,space_ratio,0.6966
morning,hip-hop,hihat,onset_density_per_bar,20.0
morning,hip-hop,hihat,velocity_reliable,1
morning,hip-hop,hihat,timing_played,1
morning,hip-hop,hihat,mean_abs_deviation_ms,16.35
morning,hip-hop,hihat,longest_gap_beats,0.71
morning,hip-hop,hihat,syncopation_lhl,0.414
morning,hip-hop,hihat,hat_business,0.773
morning,hip-hop,hihat,roll_count,7
morning,hip-hop,hihat,rolls_per_4_bars,7.0
morning,hip-hop,hihat,roll_resolves_into_hit_rate,0.43
morning,hip-hop,kick,space_ratio,0.8887
morning,hip-hop,kick,onset_density_per_bar,5.0
morning,hip-hop,kick,velocity_reliable,0
morning,hip-hop,kick,timing_played,0
morning,hip-hop,kick,mean_abs_deviation_ms,0.0
morning,hip-hop,kick,longest_gap_beats,1.5
morning,hip-hop,kick,syncopation_lhl,0.95
morning,hip-hop,snare,space_ratio,0.9701
morning,hip-hop,snare,onset_density_per_bar,1.5
morning,hip-hop,snare,velocity_reliable,0
morning,hip-hop,snare,timing_played,0
morning,hip-hop,snare,mean_abs_deviation_ms,0.0
morning,hip-hop,snare,longest_gap_beats,4.0
morning,hip-hop,snare,syncopation_lhl,1.667
morning,hip-hop,kick|bassline,ktb_hit_ratio,0.95
morning,hip-hop,kick|bassline,ktb_co_hit_rate,0.95
morning,hip-hop,kick|bassline,ktb_lead_in_rate,0.24
morning,hip-hop,kick|bassline,ktb_mean_lag_ticks,-0.05
morning,hip-hop,kick|bassline,ktb_mean_lag_ms,-0.44
morning,hip-hop,kick|bassline,ktb_lag_std_ticks,0.83
morning,hip-hop,bassline|chord progression,bass_chord_tone_rate,1.0
morning,hip-hop,bassline|chord progression,bass_on_root_rate,0.86
out there,hip-hop,chorus bassline,space_ratio,0.0
out there,hip-hop,chorus bassline,onset_density_per_bar,0.5
out there,hip-hop,chorus bassline,velocity_reliable,0
out there,hip-hop,chorus bassline,timing_played,0
out there,hip-hop,chorus bassline,mean_abs_deviation_ms,0.0
out there,hip-hop,chorus bassline,longest_gap_beats,8.0
out there,hip-hop,chorus bassline,syncopation_lhl,0.0
out there,hip-hop,clap,space_ratio,0.875
out there,hip-hop,clap,onset_density_per_bar,2.0
out there,hip-hop,clap,velocity_reliable,0
out there,hip-hop,clap,timing_played,0
out there,hip-hop,clap,mean_abs_deviation_ms,0.0
out there,hip-hop,clap,longest_gap_beats,2.0
out there,hip-hop,clap,syncopation_lhl,1.5
out there,hip-hop,hihat,space_ratio,0.0
out there,hip-hop,hihat,onset_density_per_bar,18.0
out there,hip-hop,hihat,velocity_reliable,1
out there,hip-hop,hihat,timing_played,1
out there,hip-hop,hihat,mean_abs_deviation_ms,10.42
out there,hip-hop,hihat,longest_gap_beats,0.25
out there,hip-hop,hihat,syncopation_lhl,0.0
out there,hip-hop,hihat,hat_business,0.349
out there,hip-hop,hihat,roll_count,4
out there,hip-hop,hihat,rolls_per_4_bars,4.0
out there,hip-hop,hihat,roll_resolves_into_hit_rate,0.0
out there,hip-hop,kick,space_ratio,0.6562
out there,hip-hop,kick,onset_density_per_bar,4.5
out there,hip-hop,kick,velocity_reliable,0
out there,hip-hop,kick,timing_played,0
out there,hip-hop,kick,mean_abs_deviation_ms,0.0
out there,hip-hop,kick,longest_gap_beats,1.5
out there,hip-hop,kick,syncopation_lhl,0.889
out there,hip-hop,snare,space_ratio,0.9583
out there,hip-hop,snare,onset_density_per_bar,0.5
out there,hip-hop,snare,velocity_reliable,0
out there,hip-hop,snare,timing_played,0
out there,hip-hop,snare,mean_abs_deviation_ms,0.0
out there,hip-hop,snare,longest_gap_beats,8.0
out there,hip-hop,snare,syncopation_lhl,2.0
out there,hip-hop,verse bassline,space_ratio,0.0
out there,hip-hop,verse bassline,onset_density_per_bar,5.5
out there,hip-hop,verse bassline,velocity_reliable,0
out there,hip-hop,verse bassline,timing_played,0
